latitude,longitude,altitude,geometry,coordinates,@id,man_made,source,name,power,ref:FR:gdo,note,street_cabinet,ref,colour,operator,ref:FR:ARCEP,ref:FR:Orange,telecom:medium,start_date,hinge,owner,telecom,utility,manufacturer,substation,current,description,frequency,location,operator:wikidata,operator:wikipedia,owner:wikidata,owner:wikipedia,phases,rating,voltage
,,,Polygon,"-0.6726869,47.5405266,-0.6726892,47.5405059,-0.6726541,47.5405039,-0.6726518,47.5405246,-0.6726869,47.5405266",way/555788157,street_cabinet,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5567771,47.4898464,-0.5567727,47.4898457,-0.55677,47.4898533,-0.5567745,47.489854,-0.5567771,47.4898464",way/713177797,street_cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5124497,47.4606248,-0.5124616,47.4606014,-0.5124391,47.4605961,-0.5124272,47.4606196,-0.5124497,47.4606248",way/930692168,street_cabinet,,Paperie Larivière,substation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5368182,47.4574432,-0.5368176,47.4574215,-0.5367841,47.4574215,-0.5367848,47.4574432,-0.5368182,47.4574432",way/962340696,street_cabinet,,Maillotin,substation,49007P0697,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5123343,47.4619931,-0.5123345,47.4619793,-0.5123218,47.4619792,-0.5123216,47.461993,-0.5123343,47.4619931",way/968891982,street_cabinet,,Paperie Larivière,substation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5173256,47.4535326,-0.5173297,47.4535231,-0.5173234,47.4535219,-0.5173193,47.4535313,-0.5173256,47.4535326",way/968911277,street_cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.4920139,47.4611976,-0.4920139,47.4611893,-0.4919921,47.4611894,-0.4919921,47.4611977,-0.4920139,47.4611976",way/971602927,street_cabinet,,,,,gaz,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5124656,47.4605878,-0.5124719,47.4605754,-0.5124588,47.4605724,-0.5124526,47.4605848,-0.5124656,47.4605878",way/977553498,street_cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5542324,47.4588085,-0.5542302,47.4587934,-0.5542195,47.4587941,-0.5542218,47.4588092,-0.5542324,47.4588085",way/982250279,street_cabinet,,,,,,power,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"-0.5155853,47.4746189,-0.5155988,47.4746114,-0.5155784,47.4745944,-0.5155648,47.4746019,-0.5155853,47.4746189",way/987153417,street_cabinet,,,,49267DP0002,,gas,,,,,,,,,,,,,,,,,,,,,,,,
